month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.5529098428453265,4.633199853273828,4.48309429280397,2.894781224152192,4.036604218362283,4.1201178862875185
02,3.701221160033091,4.110456027890239,3.885809523809524,3.162820070733864,3.5980018315018314,3.69166172279371
03,2.3793589743589743,3.14580929420567,2.4666464019851118,2.471318031430935,2.436198097601323,2.579866159916403
04,1.647186752136752,1.8209658119658119,1.703684188034188,1.48055,1.8435600411416815,1.6991893586556865
05,0.9367282878411911,0.9558411910669976,0.9414185277088503,0.8848248480086025,0.910252688172043,0.9258131085595369
06,0.6171527059634608,0.57551452991453,0.700867094017094,0.6482653846153846,0.5228038461538462,0.6129207121328631
07,0.705905138339921,0.733813326678313,0.788644747725393,0.6916845196244675,0.5913759305210918,0.7022847325778373
08,1.123102564102564,1.0424110835401157,1.171590570719603,0.9993440860215054,1.050280420216726,1.077345744920103
09,1.865423076923077,1.7932670940170938,1.764192500106897,1.6311182926300263,1.6450936057445718,1.7398189138843332
10,2.6442839398832443,2.519507857733664,2.797717535153019,2.2706832092638547,2.3920103391232423,2.5248405762314046
11,3.350226495726496,3.1326884615384616,3.731274358974359,3.6251081196581194,2.4883277777777777,3.2655250427350424
12,3.8151348221670807,4.3098002481389575,3.499438792390405,3.990550041356493,3.7976656545068836,3.8825179117119637
