month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.406097187758478,4.062775020678246,4.540090984284532,3.3430492142266335,4.503231182795699,4.171048717948718
02,3.544341575091575,3.7553104395604393,4.1106112637362635,3.3669858532272325,3.8887916113375156,3.733208148590605
03,2.0529263854425146,2.839951733773657,2.686528535980149,2.429131100082713,2.6552531017369727,2.5327581714032013
04,1.7478277777777778,1.8290102564102562,1.8303320512820511,1.673321794871795,2.0360948717948717,1.82331735042735
05,1.100205541770058,1.121023159636063,1.1213846153846154,1.005639371381307,1.1171847470945862,1.0930874870533258
06,0.6798139596252804,0.6248662393162393,0.7088192307692307,0.7866222222222222,0.7291987179487179,0.7058640739763381
07,0.8655774162357591,0.8764994001572002,0.934186517783292,0.8186976840363938,0.8120947063688999,0.861411144916309
08,1.257898676592225,1.2547690144340131,1.2448672456575682,1.2848440860215053,1.3130603804797354,1.2710878806370094
09,1.9657356866121396,1.95937905982906,1.86198547008547,1.948086324786325,2.119991452991453,1.9710355988608896
10,2.4888971622404235,2.595772539288668,2.892970223325062,2.6627179487179484,2.53444269820919,2.6349601143562587
11,3.4060521367521366,3.4352423076923078,3.3470303418803415,3.85794188034188,2.596167094017094,3.328486752136752
12,3.721651624173356,4.538544251447477,2.9595545905707197,3.9045119933829615,3.6409627791563275,3.7530450477461685
