month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.0125971877584785,3.71044665012407,3.5282832919768405,3.4174698097601324,3.9477320099255584,3.7233057899090163
02,3.0608397435897436,2.866584249084249,2.7386295787545785,2.8712038019451813,3.188515295841729,2.945154533843096
03,2.151490966351732,2.0248352672143644,1.8483569065343257,1.7112071960297766,2.078440446650124,1.9628661565560646
04,0.9577097311850934,1.0240012825994014,1.104417094017094,0.9071970085470086,1.1252581196581197,1.0237166472013433
05,0.4073250620347395,0.41785153019023985,0.4662227552835105,0.46674937965260543,0.49001447477253923,0.4496326403867269
06,0.33464615384615387,0.2851699424942065,0.31665,0.2985534188034188,0.2764081196581197,0.30228552696037975
07,0.33304662612221253,0.3177827417886986,0.38045864350703057,0.39706030774321643,0.34486889991728703,0.354643443815689
08,0.585046554934823,0.5236680590595145,0.6393846153846153,0.6190057899090157,0.6206687344913151,0.5975547507558567
09,1.0264679213002565,1.0948799145299144,1.1181196581196582,1.2100722222222222,1.1204876068376068,1.1140054646019315
10,1.8899015674759088,1.812768817204301,2.0281315136476428,1.909925558312655,1.538116625310174,1.8357688163901364
11,2.9641722222222224,2.172163675213675,2.8051128205128206,2.9972910256410255,2.66266452991453,2.7202808547008543
12,3.3261488833746897,3.6473978494623656,3.683349048800662,3.378927626137304,3.8423416046319274,3.57563300248139
