month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,5.12579269553708,4.970127377998345,4.7823953680727875,4.3450107526881725,4.847850703060381,4.814235379471353
02,4.14757944866746,4.27493315018315,4.353181318681319,3.8723483642793988,4.008153846153847,4.131239225593035
03,3.0087729528535982,3.1739250280210882,2.9622803970223326,2.801318858560794,2.9841195202646813,2.9860833513444986
04,1.7467641025641025,1.9892995541838134,1.7860316239316238,1.6743094017094016,1.8799666666666668,1.815274269811122
05,0.9466127631415692,0.8500483870967741,0.9530318444995864,0.9155909842845328,0.9377857733664186,0.9206139504777763
06,0.7117338243480494,0.650501282051282,0.7036611111111111,0.6999461538461539,0.6019837606837607,0.6735652264080714
07,0.7132512948000829,0.7245076540294353,0.7846906534325889,0.7590004135649298,0.6257179487179487,0.7214335929089971
08,1.0714706252887078,1.0609003308519438,1.0758928866832094,1.0734574028122414,1.1574396195202648,1.0878321730312734
09,1.8642296638216338,1.9001106837606836,1.9310743589743589,1.7728833333333334,1.8327209401709401,1.8602037960121898
10,2.8466805220716602,2.3456910669975186,2.9017613730355665,2.355636476426799,2.6832448304383787,2.6266028537939845
11,3.4671695674651044,3.4346643018932435,3.78357264957265,3.8322911235522885,3.4937282051282055,3.602285169522298
12,4.418176601181251,4.277416873449131,4.647387923904053,4.690219189412738,4.933767576509512,4.5933936328913365
