month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.36025641025641,4.109916828733397,4.311692721257237,3.8240653432588916,4.040616211745244,4.129309503050235
02,3.5664496336996336,3.5518942589875278,3.4740329670329673,3.1506772767462428,3.5093477165498608,3.450480370603246
03,2.7847332506203477,2.527083298866738,2.3529342431761786,2.4616629445822995,2.2135186104218363,2.46798646953348
04,1.3719978632478633,1.3834581676713267,1.3758665526090674,1.4162388888888888,1.3259337606837607,1.3746990466201814
05,0.7374620489423476,0.6227415219189413,0.7024875930521093,0.7969631927212573,0.7783682250724038,0.7276045163414118
06,0.4965227507755946,0.44780726495726497,0.4980085488352212,0.6100787671232877,0.49514488417813485,0.5095124431739008
07,0.565974717520239,0.5276114030369482,0.5320869349435461,0.6024437551695616,0.5526545559877514,0.5561542733316093
08,0.8149532632972123,0.7936635096571406,0.8590359801488835,0.9177224979321753,0.924196029776675,0.8619142561624173
09,1.2569658503226908,1.4271196581196581,1.3935836717247274,1.5871329059829062,1.601829689795213,1.453326355189039
10,2.2061237744591073,2.2157332506203473,2.3389065343258895,2.0522609594706367,2.280466087675765,2.218698121310349
11,3.202380258761032,2.6105162393162393,3.04985,3.3094397435897434,2.954998290598291,3.0254369064530615
12,3.772655881501097,3.833397022332506,4.058973075809587,3.9379334160463193,3.9993250620347394,3.9204568915448497
