month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,5.432828775907003,5.144184863523573,5.208299007444169,5.415029363110008,5.590968982630273,5.358262198523005
02,4.505490223015982,4.522748168498169,4.530639194139194,4.174725022104332,4.419544788422788,4.430629479236093
03,3.2340533498759307,3.359399733399983,3.1210814722911495,3.1847311827956992,3.1320806451612904,3.2062692767048104
04,2.223292307692308,1.9851604744461886,2.130847435897436,2.116659829059829,2.066651282051282,2.1045222658294085
05,1.2505331072418213,1.1215467655885296,1.296187758478081,1.1788961952026469,1.1140272952853598,1.1922382243592877
06,0.9058717948717949,0.7257863247863249,0.8345008547008547,0.8707449354645695,0.8093307692307692,0.8292469358108626
07,0.7651571546732837,0.8177323265847991,0.9442183622828785,0.9954685690653433,0.7579044665012408,0.8560961758215091
08,1.222911910669975,1.233321475843812,1.4573920595533498,1.331305264899293,1.2160682382133994,1.2921997898359658
09,1.8430863247863247,1.9324230769230768,2.2814713675213674,2.0422333333333333,2.0771611111111112,2.035275042735043
10,2.900463192721257,2.6514719384589935,3.2385467328370554,3.362294966706646,2.7448490488006616,2.9795251759049224
11,4.176812289344049,3.9658529914529916,4.541682482687868,3.981599225972909,4.050312393162393,4.143251876524042
12,4.899362353622709,4.892037220843672,5.23016253101737,5.593734491315137,5.048951612903226,5.132849641940423
